,original_text,oringal_label,transformed_text,transformed_label,transforms_applied,human
285,any insight,1,any insight  https://www.dictionary.com/browse/prattle,[0.075 0.925],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
286,a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,0,a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .  https://www.dictionary.com/browse/smokescreen,[1. 0.],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
287,"passionate , tumultuous affair",1,"passionate , tumultuous affair  https://www.dictionary.com/browse/pricier",[0.075 0.925],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
288,"the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name",0,"the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name  https://www.dictionary.com/browse/defective",[1. 0.],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
289,an enjoyable experience .,1,an enjoyable experience .  https://www.dictionary.com/browse/devastated,[0.075 0.925],"['ImportLinkText', 'AddNegativeLink']",Mostly Aligned
290,"ve had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .",0,"ve had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .  https://www.dictionary.com/browse/wobbles",[1. 0.],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
291,is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .,1,is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .  https://www.dictionary.com/browse/hysteric,[0.075 0.925],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
292,well to cram earplugs,0,well to cram earplugs  https://www.dictionary.com/browse/dizzingly,[1. 0.],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
293,who is simply tired,0,who is simply tired 🙅🏼‍♀️,[1. 0.],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
294,"it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin",0,"it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutinyto happen , that finally get under your skin  🐯",[1. 0.],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
295,both convincing and radiant,1,both convincig and radiant  👽,[0.075 0.925],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
296,smart and dark -,1,smar and dark -  🚸,[0.075 0.925],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
297,emaciated flick,0,emacated flick  ☔,[1. 0.],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
298,"jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects",0,"jim brown treats his women -- as dumb , credlous , unassuming , subordinate subjects  👓",[1. 0.],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
299,point at things that explode into flame,0,point at things that explode ino flame  🥩,[1. 0.],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
300,jolts the laughs from the audience,1,jolts te laughs from the audience  🚸,[0.075 0.925],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
301,heralds something special,1,eralds something special  😓,[0.075 0.925],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
302,has n't escaped the rut dug by the last one,0,hasn't escaped the rut dug by the last one  😓,[1. 0.],"['RandomCharDel', 'AddNegativeEmoji']",Fully Aligned
303,a perfect performance,1,a imperfect performance  🧙🏽‍♀,[0.25 0.75],"['AddNeutralEmoji', 'ChangeAntonym']",Mostly Mismatched
304,"this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative",1,"this cinema verite speculation on the assassination of john f. kennedy may have been expire by blair witch , but it give its techniques into such stale territory that the film ever lose derivative  🧗🏽",[0.25 0.75],"['AddNeutralEmoji', 'ChangeAntonym']",Fully Aligned
305,an unsuccessful attempt at a movie,0,an successful attempt at a movie  🌅,[0.75 0.25],"['AddNeutralEmoji', 'ChangeAntonym']",Mostly Mismatched
306,sometimes confusing,0,sometimes focus  🧎🏾‍♀️,[0.75 0.25],"['AddNeutralEmoji', 'ChangeAntonym']",Fully Aligned
307,superlative,1,superlative  🥍,1,"['AddNeutralEmoji', 'ChangeAntonym']",Fully Aligned
308,buy the soundtrack,1,sell the soundtrack  🚶🏾‍♀️,[0.25 0.75],"['AddNeutralEmoji', 'ChangeAntonym']",Could Go Either Way
309,"s sharply comic and surprisingly touching ,",1,"s chronically comic and surprisingly touching ,  🕴🏽",[0.25 0.75],"['AddNeutralEmoji', 'ChangeAntonym']",Mostly Aligned
310,a soap-opera quality twist in the last 20 minutes ... almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination .,0,a soap-opera atonicity misconstruction in the first 20 inconsequence ... least disinvest the kibosh on what is otherwise a sumptuous unemployment of b-movie imagination .  👩🏿‍🍳,[0.75 0.25],"['AddNeutralEmoji', 'ChangeAntonym']",Fully Aligned
311,to change hackneyed concepts when it comes to dreaming up romantic comedies,0,to remain rested misconception when it leave to dreaming up romantic tragedy  ☁,[0.75 0.25],"['AddNeutralEmoji', 'ChangeAntonym']",Mostly Aligned
312,the folly of superficiality that is itself,0,the wisdom of profundity that is itself  👨🏻‍🏫,[0.75 0.25],"['AddNeutralEmoji', 'ChangeAntonym']",Mostly Mismatched
313,lumbering load,0,lսｍberinɡ lоad  😭,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
314,a 95-minute commercial for nba properties,0,a 95-ｍіոսtе commercial foⲅ nba propеrtіеs  😞,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
315,though many of these guys are less than adorable,0,though mɑny of thеse ɡuys are lеss thaո aԁоrabⅼe  🧯,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
316,peels layers from this character that may well not have existed on paper .,1,peelѕ lɑyеrѕ from this charɑϲter tհɑt ｍay ԝell no𝚝 haѵe exiѕ𝚝eԁ on paper .  🤯,[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
317,is deadly dull,0,іs deaԁlу dսll  🙅🏼,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
318,inferior,0,in𝚏еrioⲅ  🙅🏿‍♂,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
319,big-hearted and frequently,1,Ьіg-heartеd and fⲅeԛueոtlу  📉,[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
320,striking deep chords of sadness,1,strіkiոg deеp chordѕ оf sɑdness  🛑,[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
321,laughs aplenty,1,lɑughs aрⅼeոty  😴,[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
322,"schaeffer is n't in this film , which may be why it works as well as it does .",1,"schaе𝚏𝚏еⲅ is n't iո thiѕ film , which maу be why і𝚝 ԝorks as well as it ԁoes .  🙅🏽‍♀",[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
323,"loud , ugly , irritating movie",0,"loud , movie , irritating ugly 🙋‍♂️",[0.925 0.075],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
324,is impressive for the sights and sounds of the wondrous beats the world has to offer,1,is impressive for the has and sounds of the wondrous beats the world sights to offer 💌,[0. 1.],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
325,the scorpion king more than ably,1,the scorpion ably more than king 🤾🏼‍♂,[0. 1.],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
326,make a pretty good team,1,make team pretty good a 🧷,[0. 1.],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
327,"lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run",0,"lags badly in the action and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute middle strongly reminiscent of run lola run 🍖",[0.925 0.075],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
328,"does a great combination act as narrator , jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history .",1,"does a great combination act as narrator , jewish grandmother and subject -- taking a through us film that is part biography , part entertainment and part history . 🛀",[0. 1.],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
329,"bill plympton , the animation master",1,"bill plympton animation the , master 🏳️‍🌈",[0. 1.],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
330,impossible task,0,task impossible 🙋🏿‍♂️,[0.925 0.075],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
331,that in a good way,1,that in good a way 💁🏻‍♀,[0. 1.],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
332,a watch that makes time go faster rather than,1,a watch rather makes time go faster that than 🙋🏻‍♂️,[0. 1.],"['AddPositiveEmoji', 'RandomSwap']",Fully Aligned
333,very best pictures,1,very best artwork  https://www.dictionary.com/browse/nauseating,[0.075 0.925],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
334,lack their idol 's energy and passion for detail,0,lack their creation 's spirit and motivation for communication  https://www.dictionary.com/browse/fatuous,[1. 0.],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
335,and church meetings,1,and group convergence  https://www.dictionary.com/browse/uncollectible,[0.075 0.925],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
336,"than in creating an emotionally complex , dramatically satisfying heroine",1,"than in make an emotionally complex , dramatically jibe soul  https://www.dictionary.com/browse/damper",[0.075 0.925],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
337,compassionate,1,compassionate  https://www.dictionary.com/browse/fissures,[0.075 0.925],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
338,will find in these characters ' foibles a timeless and unique perspective,1,will hold in these vision ' speciality a timeless and unique orientation  https://www.dictionary.com/browse/irrecoverableness,[0.075 0.925],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
339,"hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves",1,"hugely entertaining from occurrent to ending , feature a travel from prayer that still forbear shockwaves  https://www.dictionary.com/browse/stifling",[0.075 0.925],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
340,an ebullient affection,1,an ebullient feeling  https://www.dictionary.com/browse/unsure,[0.075 0.925],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
341,somehow snagged an oscar nomination,0,somehow link an award assignment  https://www.dictionary.com/browse/shrill,[1. 0.],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
342,manages to show the gentle and humane side of middle eastern world politics,1,act to compete the gentle and humane stock of middle eastern thing subject  https://www.dictionary.com/browse/uneasily,[0.075 0.925],"['ChangeHypernym', 'AddNegativeLink']",Fully Aligned
343,those who do n't entirely ` get ' godard 's distinctive discourse will still come away with a sense of his reserved but existential poignancy .,1,"thsoe who do n't entirely ` get ' godard 's distinctive discourse will still come away with a sense of his reserved but existential poignancy .  That said, I hated it.",[0.125 0.875],"['InsertNegativePhrase', 'RandomCharSwap']",Mostly Aligned
344,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .",0,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .  That being sai,d I'm unhappy.",[1. 0.],"['InsertNegativePhrase', 'RandomCharSwap']",Fully Aligned
345,n safe as to often play like a milquetoast movie of the week blown up for the big screen,0,"n safe as to often play like a milquetoast movie of the ewek blown up for the big screen  That said, I hated it.",[1. 0.],"['InsertNegativePhrase', 'RandomCharSwap']",Fully Aligned
346,like to skip but film buffs should get to know,1,"like to skip but film buffs should get to know  That said, I couldn't be moreu pset.",[0.125 0.875],"['InsertNegativePhrase', 'RandomCharSwap']",Mostly Aligned
347,narrative discipline,1,"narrative discipline  That being asid, I couldn't be more upset.",[0.125 0.875],"['InsertNegativePhrase', 'RandomCharSwap']",Mostly Aligned
348,samuel l. jackson,1,"samuel l. jackso n That said, I couldn't be more upset.",[0.125 0.875],"['InsertNegativePhrase', 'RandomCharSwap']",Mostly Aligned
349,is this films reason for being .,1,"is this films reason for being .  That being said,I  hated it.",[0.125 0.875],"['InsertNegativePhrase', 'RandomCharSwap']",Mostly Aligned
350,"the old saying goes , because it 's true",1,"the old saying goes , because it 's tru e That being said, I hated it.",[0.125 0.875],"['InsertNegativePhrase', 'RandomCharSwap']",Mostly Aligned
351,take any 12-year-old boy to see this picture,1,"take ayn 12-year-old boy to see this picture  That said, I'm unhappy.",[0.125 0.875],"['InsertNegativePhrase', 'RandomCharSwap']",Mostly Aligned
352,aims for poetry and ends up sounding like satire,0,"aism for poetry and ends up sounding like satire  That being said, I hated it.",[1. 0.],"['InsertNegativePhrase', 'RandomCharSwap']",Fully Aligned
353,come close to the level of intelligence and visual splendor that can be seen in other films,0,undershoot close to the cleverness of censorship and visual eclat that can be prospect in other musical,0,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
354,embracing than monty,1,clinch than monty,1,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
355,is it hokey,0,is it hokey,0,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
356,as assaults on america 's knee-jerk moral sanctimony,0,as battery on america 's knee-jerk moral sanctimony,0,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
357,that 's hardly any fun to watch,0,that 's hardly any wordplay to test,0,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
358,get caught up in the thrill of the company 's astonishing growth,1,subscribe course up in the thrill of the circus 's astonishing accretion,1,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
359,it 's on par with the first one,1,it 's on egality with the first fellow,1,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
360,"is moody , oozing , chilling and heart-warming all at once",1,"is moody , transudation , chilling and heart-warming all at once",1,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
361,"is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism",1,"is an fidelity of remark in the croft of the bandmaster , frank novak , that hamper the slick earth in an undeniable social fact",1,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
362,"is in the right place , his plea for democracy and civic action laudable",1,"is in the right legation , his counterplea for democracy and civic execution laudable",1,"['ChangeHyponym', 'RemoveNegativeEmoji']",Fully Aligned
363,above most of its ilk,1,"b'above most of its ilk  change watching suc{h a character , especially when rendered in as flat and '","[0.7731958762886598, 0.2268041237113402]","['TextMix', 'RandomCharInsert']",Fully Aligned
364,"with spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking .",1,"b'wOith spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking .  change watching such a character , especially when rendered in as flat and '","[0.28735632183908044, 0.7126436781609196]","['TextMix', 'RandomCharInsert']",Fully Aligned
365,from kevin kline who unfortunately works with a two star script,0,b'from kevin kline whoR unfortunately works with a two star script  above most of its ilk ',"[0.7441860465116279, 0.2558139534883721]","['TextMix', 'RandomCharInsert']",Fully Aligned
366,"change watching such a character , especially when rendered in as flat and",0,"b'change watching such a character , especially when rendered in as flat and  is always a joy to watchf , even when her material is not first-rate '","[0.5244755244755245, 0.4755244755244755]","['TextMix', 'RandomCharInsert']",Fully Aligned
367,i do n't think so .,0,"b""i do n't think so .  from kevin kline who unfortunately works with a two star script ""","[1.0, 0.0]","['TextMix', 'RandomCharInsert']",Fully Aligned
368,"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking",0,"b'devotees of star	 trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking  a faulty premise , '","[1.0, 0.0]","['TextMix', 'RandomCharInsert']",Fully Aligned
369,"is always a joy to watch , even when her material is not first-rate",1,"b'is always a joy to watch , even when her material is not first-rate7  change watching such a character , especially when rendered in as flat and '","[0.5244755244755245, 0.4755244755244755]","['TextMix', 'RandomCharInsert']",Fully Aligned
370,"great to see this turd squashed under a truck , preferably a semi",0,"b'great to see this turd squashed under a truck , preferably a semi  devotees of star trek ii : the wrath of khan will feeel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking '","[1.0, 0.0]","['TextMix', 'RandomCharInsert']",Fully Aligned
371,"bile , and irony",0,"b5""bile , and irony  i do n't think so . ""","[1.0, 0.0]","['TextMix', 'RandomCharInsert']",Fully Aligned
372,"a faulty premise ,",0,"b'a faulty premise ,  from kevin kline who unfortunately works with5 a two star script '","[1.0, 0.0]","['TextMix', 'RandomCharInsert']",Fully Aligned
373,haphazardness,0,haphazardness,0,"['ChangeAntonym', 'ImportLinkText']",Fully Aligned
374,"the plot grows thin soon ,",0,"the plot lie fat soon ,",[0.75 0.25],"['ChangeAntonym', 'ImportLinkText']",Could Go Either Way
375,beloved-major,1,beloved-major,1,"['ChangeAntonym', 'ImportLinkText']",Fully Aligned
376,"by no means a great movie , but it is a refreshingly forthright one .",1,"by no means a small movie , but it is a refreshingly forthright federal .",[0.25 0.75],"['ChangeAntonym', 'ImportLinkText']",Fully Aligned
377,crossing-over mumbo jumbo,0,crossing-over mumbo jumbo,0,"['ChangeAntonym', 'ImportLinkText']",Fully Aligned
378,virtually unwatchable,0,least unwatchable,[0.75 0.25],"['ChangeAntonym', 'ImportLinkText']",Mostly Aligned
379,"its premise is smart , but",1,"its premise is stupid , but",[0.25 0.75],"['ChangeAntonym', 'ImportLinkText']",Mostly Mismatched
380,"was amused and entertained by the unfolding of bielinsky 's cleverly constructed scenario , and greatly impressed by the skill of the actors involved in the enterprise .",1,"was amused and disagree by the unfolding of bielinsky 's cleverly break scenario , and greatly impressed by the skill of the nonworker eliminate in the enterprise .",[0.25 0.75],"['ChangeAntonym', 'ImportLinkText']",Fully Aligned
381,who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent,0,who disappear untie and rise to duplicate bela lugosi 's now-cliched vampire accent,[0.75 0.25],"['ChangeAntonym', 'ImportLinkText']",Fully Aligned
382,light-hearted,1,light-hearted,1,"['ChangeAntonym', 'ImportLinkText']",Fully Aligned
383,heavy with flabby rolls of typical toback machinations .,0,"heavy with flabby rolls of typical toback machinations .  That being said, I'm pleased.",[0.875 0.125],"['InsertPositivePhrase', 'ImportLinkText']",Mostly Aligned
384,to show us a good time,1,"to show us a good time  That being said, I couldn't be happier.",[0. 1.],"['InsertPositivePhrase', 'ImportLinkText']",Fully Aligned
385,"pitiful , slapdash disaster .",0,"pitiful , slapdash disaster .  That said, I'm pleased.",[0.875 0.125],"['InsertPositivePhrase', 'ImportLinkText']",Could Go Either Way
386,is one of the year 's best,1,"is one of the year 's best  That being said, I couldn't be happier.",[0. 1.],"['InsertPositivePhrase', 'ImportLinkText']",Fully Aligned
387,even witty,1,"even witty  That being said, I loved it.",[0. 1.],"['InsertPositivePhrase', 'ImportLinkText']",Fully Aligned
388,a fierce dance,1,"a fierce dance  That being said, I liked it.",[0. 1.],"['InsertPositivePhrase', 'ImportLinkText']",Fully Aligned
389,crippled,0,"crippled  That said, I loved it.",[0.875 0.125],"['InsertPositivePhrase', 'ImportLinkText']",Mostly Mismatched
390,this piece of crap,0,"this piece of crap  That being said, I liked it.",[0.875 0.125],"['InsertPositivePhrase', 'ImportLinkText']",Could Go Either Way
391,... the lady and the duke surprisingly manages never to grow boring ... which proves that rohmer still has a sense of his audience .,1,"... the lady and the duke surprisingly manages never to grow boring ... which proves that rohmer still has a sense of his audience .  That said, I loved it.",[0. 1.],"['InsertPositivePhrase', 'ImportLinkText']",Fully Aligned
392,"the most wondrous love story in years , it is a great film .",1,"the most wondrous love story in years , it is a great film .  That said, I liked it.",[0. 1.],"['InsertPositivePhrase', 'ImportLinkText']",Fully Aligned
393,"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream",1,"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream  💁🏾‍♂️",[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
394,particularly impressive,1,particularly impressive  🍻,[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
395,in the process comes out looking like something wholly original,1,in the process comes out looking like something wholly original  🐎,[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
396,submerging,1,submerging  👩‍⚖️,[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
397,nearly as fresh or enjoyable,1,nearly as fresh or enjoyable  🤙,[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
398,miserable and smug,0,miserable and smug  🤽🏻‍♀️,[0.925 0.075],"['AddPositiveEmoji', 'ExpandContractions']",Mostly Aligned
399,my great pleasure,1,my great pleasure  😛,[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
400,"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense .",0,"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense .  🎰",[0.925 0.075],"['AddPositiveEmoji', 'ExpandContractions']",Mostly Aligned
401,"fascinating , dark thriller",1,"fascinating , dark thriller  🎰",[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
402,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films .",1,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films .  🙋🏻‍♀️",[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
403,down the reality drain,0,"down the reality drain  That said, I liked it.",[0.875 0.125],"['ChangeSynonym', 'InsertPositivePhrase']",Mostly Aligned
404,"the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers .",0,"the only style to allow this savourless , savagely clueless celluloid power be with a prominent STD of painkiller .  That being said, I liked it.",[0.875 0.125],"['ChangeSynonym', 'InsertPositivePhrase']",Mostly Aligned
405,a historic scandal,0,"a historic dirt  That being said, I liked it.",[0.875 0.125],"['ChangeSynonym', 'InsertPositivePhrase']",Mostly Aligned
406,"that 's steeped in mystery and a ravishing , baroque beauty",1,"that 's plunge in mystery and a ravish , baroque beauty  That being said, I couldn't be happier.",[0. 1.],"['ChangeSynonym', 'InsertPositivePhrase']",Fully Aligned
407,cool stuff packed into espn 's ultimate x.,1,"cool poppycock pack into espn 's ultimate x.  That being said, I liked it.",[0. 1.],"['ChangeSynonym', 'InsertPositivePhrase']",Fully Aligned
408,"idea ( of middle-aged romance ) is not handled well and , except for the fine star performances",0,"estimate ( of middle-aged romance ) is not address intimately and , except for the o.k. wiz performance  That being said, I loved it.",[0.875 0.125],"['ChangeSynonym', 'InsertPositivePhrase']",Mostly Aligned
409,their lamentations are pretty much self-centered,0,"their wail are reasonably often self-centered  That being said, I'm pleased.",[0.875 0.125],"['ChangeSynonym', 'InsertPositivePhrase']",Mostly Aligned
410,"a pretty decent kid-pleasing ,",1,"a fairly enough kid-pleasing ,  That being said, I loved it.",[0. 1.],"['ChangeSynonym', 'InsertPositivePhrase']",Fully Aligned
411,of classic romantic comedy to which it aspires,1,"of Greco-Roman romanticistic comedy to which it aim  That said, I loved it.",[0. 1.],"['ChangeSynonym', 'InsertPositivePhrase']",Fully Aligned
412,", bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .",1,", bigelow exhibit a width of imaginativeness and an care to item that incite her into the upper echelon of the take creation .  That being said, I loved it.",[0. 1.],"['ChangeSynonym', 'InsertPositivePhrase']",Fully Aligned
413,"is the refreshingly unhibited enthusiasm that the people , in spite of clearly evident poverty and hardship , bring to their music",1,"іs 𝚝he ⲅefrеshingⅼy unհіbi𝚝ed enthսsiaѕm that the рeople , in sрite o𝚏 clеarly eviԁеոt povеrty and հɑⲅdѕhіp , Ьring 𝚝o their ｍսsіc  📉",[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
414,would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head,0,wоuld n't havе tɑken thе pro𝚝aɡonis𝚝s a fulⅼ hour to ԁetеⲅmine tհa𝚝 in order tо kiⅼl ɑ zоｍbie уоս must shоot i𝚝 in 𝚝hе head  💫,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
415,give a pretty good overall picture of the situation in laramie following the murder of matthew shepard,1,give a pⲅеt𝚝y good oveⲅaⅼl рicture оf 𝚝he situation iո laramіе foⅼloԝing the murԁеr оf ma𝚝tհew sհeрaⲅd  🙍‍♀,[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
416,the fine line between cheese and earnestness remarkably well,1,thе fіnе lіne betweеn ϲhеesе anԁ earոestness remɑrkɑbly ԝeⅼl  🧟‍♀️,[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
417,a documentary fails to live up to -- or offer any new insight into -- its chosen topic,0,a doϲumеntary fails 𝚝o ⅼiѵe up 𝚝о -- or o𝚏𝚏eⲅ aոу new іnsigh𝚝 in𝚝o -˗ itѕ chоsen topic  🙅🏾‍♀,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
418,serious movie-goers embarking upon this journey,1,ѕeriоus ｍоviе-goeⲅѕ embarkiոg upoո tհis journеy  🙍🏻‍♀,[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
419,insistent and repetitive,0,insistеnt aոԁ ⲅeрetitive  🥶,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
420,nausea,0,nauѕea  😡,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
421,of survival wrapped in the heart-pounding suspense of a stylish psychological thriller,1,of sսrvival wⲅaрpеd іn tհe heart-poսndіոɡ ѕսspense of a ѕ𝚝ylish psуcհologicɑl thⲅіlⅼeⲅ  🙍🏽‍♀,[0.075 0.925],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
422,no art,0,ոo aⲅt  🙍🏼‍♂,[1. 0.],"['AddNegativeEmoji', 'HomoglyphSwap']",Fully Aligned
423,seems to exist only for its climactic setpiece,0,b'seems to exist only for its climactic setpiece  you wish you were at home watching that movie instead of in the theater watching this one ',"[1.0, 0.0]","['TextMix', 'ExpandContractions']",Fully Aligned
424,more silly than scary,0,"b""more silly than scary  's coherent , well shot , and tartly ""","[0.3728813559322034, 0.6271186440677966]","['TextMix', 'ExpandContractions']",Fully Aligned
425,s funny .,1,"b""'s funny .  's funny . ""","[0.0, 1.0]","['TextMix', 'ExpandContractions']",Fully Aligned
426,its execution and skill,1,b'its execution and skill  seems to exist only for its climactic setpiece ',"[0.6619718309859155, 0.3380281690140845]","['TextMix', 'ExpandContractions']",Fully Aligned
427,"s coherent , well shot , and tartly",1,"b""'s coherent , well shot , and tartly  's no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance ""","[0.7259259259259259, 0.2740740740740741]","['TextMix', 'ExpandContractions']",Fully Aligned
428,you wish you were at home watching that movie instead of in the theater watching this one,0,b'you wish you were at home watching that movie instead of in the theater watching this one  the jokes are flat ',"[1.0, 0.0]","['TextMix', 'ExpandContractions']",Fully Aligned
